date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pick,best_ev,pl,clv,clv_excess,vig_bar
2024-05-11,2024,11,Wuhan Three Towns,Shandong Taishan,2,0.2640100151143386,0.37263427383690295,0.36335571104875847,0.8838384785835955,3.32,3.43,2.06,3.67,3.18,2.16,draw,0.2781355592605772,-1.0,0.029113926310929794,0.03029648970169613,0.021141988568130963
2024-05-11,2024,11,Beijing Guoan,Meizhou Hakka,0,0.645205772229695,0.2527550973354703,0.10203913043483485,0.8838384785835955,1.33,4.76,8.03,1.26,5.37,12.45,draw,0.20311426331683857,-1.0,-0.01771188858606343,-0.016529325195297092,0.01672493089498646
2024-05-12,2024,11,Cangzhou,Zhejiang Professional,2,0.2204305951856238,0.25426555186975863,0.5253038529446177,0.8834535899382531,3.33,3.59,2.0,4.24,4.36,1.69,away,0.050607705889235355,1.0,0.09639218050487391,0.0987170044262989,0.03654432887376094
2024-05-12,2024,11,Shenzhen Xinpengcheng,Qingdao West Coast,2,0.5751997998021482,0.24255367938875164,0.18224652080910023,0.8834535899382531,1.71,3.71,4.36,2.19,3.44,3.31,home,-0.016408342338326665,-1.0,-0.10451905517996113,-0.10802644249215246,0.04516435881136676
2024-05-15,2024,12,Shanghai Shenhua,Qingdao Hainiu,0,0.6665705099670289,0.27087504281595065,0.06255444721702043,0.8737781102294592,1.29,5.25,7.97,1.2,6.94,12.42,draw,0.4220939747837409,-1.0,-0.038365505988106924,-0.03718294259734058,0.015910046253208715
2024-05-16,2024,12,Shandong Taishan,Shenzhen Xinpengcheng,0,0.8015025041828647,0.15262477422471676,0.045872721592418605,0.8719070254063215,1.37,5.25,7.87,1.34,5.33,8.01,home,0.09805843073052478,0.3700000000000001,0.008022662675771342,0.004515275363580019,0.033078027927720216
2024-05-17,2024,12,Changchun Yatai,Beijing Guoan,0,0.2225736410394399,0.30489596170678956,0.4725303972537706,0.8662842366445764,3.65,3.46,1.94,3.88,3.73,1.9,draw,0.05494002750549187,-1.0,-0.01318265637593824,-0.012000092985171901,0.021025031484933815
2024-05-17,2024,12,Zhejiang Professional,Nantong Zhiyun,0,0.6290576018665478,0.260375441458596,0.1105669566748563,0.8662842366445764,1.55,4.17,5.05,1.41,4.98,6.82,draw,0.08576559088234514,-1.0,-0.03139423424778351,-0.030211670857017172,0.01837645005849941
2024-05-17,2024,12,Cangzhou,Tianjin Jinmen Tiger,2,0.26663779300225765,0.3428479977122327,0.3905142092855096,0.8662842366445764,2.91,3.39,2.28,4.21,3.99,1.77,draw,0.16225471224446886,-1.0,-0.035855264256366204,-0.03467270086559986,0.02114698321396848
2024-05-17,2024,12,Meizhou Hakka,Chengdu Rongcheng,2,0.1359831565282073,0.29061755615826707,0.5733992873135256,0.8662842366445764,5.56,4.11,1.51,4.71,3.79,1.73,draw,0.19443815581047774,-1.0,0.026124607559875612,0.02730717095064195,0.019147179576359148
2024-05-17,2024,12,Henan Songshan Longmen,Wuhan Three Towns,2,0.2544221463478466,0.32212244274228247,0.423455410909871,0.8662842366445764,2.05,3.42,3.35,2.13,3.41,3.48,away,0.4185756265480678,2.35,-0.003078409474158883,-0.0007535855527338949,0.021781130070277783
2024-05-18,2024,12,Qingdao West Coast,Shanghai Port,2,0.046386286669217874,0.11418143142867156,0.8394322819021105,0.8511434660305692,11.63,6.95,1.17,13.74,9.38,1.14,away,-0.01786423017453076,0.16999999999999993,0.042161984256701035,0.044486808178126024,0.06664601060367341
2024-05-21,2024,13,Tianjin Jinmen Tiger,Shandong Taishan,1,0.21064011883447997,0.3822539812135466,0.40710589995197327,0.8513036933351247,3.38,3.56,1.99,3.07,3.4,2.18,draw,0.36082417312022597,2.56,0.01242558284331069,0.013608146234077028,0.020631264557755935
2024-05-21,2024,13,Henan Songshan Longmen,Shanghai Shenhua,2,0.13108653806990458,0.35851547904158027,0.5103979828885151,0.8513036933351247,4.4,3.82,1.68,7.11,4.34,1.46,draw,0.3695291299388366,-1.0,-0.02323258420874677,-0.022050020817980433,0.020350338825754277
2024-05-21,2024,13,Nantong Zhiyun,Cangzhou,1,0.3885244463410335,0.36391320012225764,0.24756235353670872,0.8513036933351247,1.82,3.66,3.88,1.85,3.81,4.03,draw,0.33192231244746306,2.66,-0.0031939640954521953,-0.002011400704685857,0.020334015209493916
2024-05-21,2024,13,Meizhou Hakka,Shenzhen Xinpengcheng,1,0.45363369509863466,0.29243512823892803,0.2539311766624374,0.8513036933351247,2.14,3.48,3.09,2.51,3.29,2.88,draw,0.01767424627146963,2.48,0.023095939694381784,0.02427850308514812,0.020858921282920426
2024-05-21,2024,13,Qingdao Hainiu,Beijing Guoan,1,0.21150842254402813,0.32783323468847414,0.46065834276749773,0.8513036933351247,3.52,3.38,2.01,4.19,3.69,1.84,draw,0.10807633324704247,2.38,-0.01726083624616076,-0.016078272855394423,0.021269955596385396
2024-05-21,2024,13,Zhejiang Professional,Wuhan Three Towns,0,0.4186648064036409,0.29171421239358847,0.2896209812027707,0.8513036933351247,1.85,3.75,3.67,1.6,4.52,4.76,draw,0.09392829647595669,-1.0,-0.037542699225535714,-0.03636013583476937,0.019681454130971218
2024-05-22,2024,13,Qingdao West Coast,Changchun Yatai,1,0.2777007682275132,0.26917534750805927,0.45312388426442757,0.8902503067402209,2.37,3.29,2.86,3.26,3.49,2.19,away,0.2959343089962627,-1.0,0.10982552759626435,0.11215035151768933,0.024558312577024365
2024-05-22,2024,13,Shanghai Port,Chengdu Rongcheng,0,0.5418032302593248,0.27057531850846805,0.18762145123220714,0.8902503067402209,1.45,4.64,5.43,1.4,5.28,6.52,draw,0.25546947787929164,-1.0,-0.018671528804231674,-0.017488965413465337,0.017674204142554564
2024-05-25,2024,14,Shandong Taishan,Zhejiang Professional,0,0.5545097885107287,0.27969457788633456,0.16579563360293664,0.8994495988149596,1.79,3.95,3.7,1.83,4.17,3.74,draw,0.10479358265102157,-1.0,-0.006357411871286661,-0.0051748484805203224,0.019206558481003663
2024-05-25,2024,14,Wuhan Three Towns,Meizhou Hakka,2,0.6530997552477107,0.24029860677721449,0.1066016379750748,0.8994495988149596,1.47,4.13,6.14,1.92,3.72,3.84,draw,-0.007566754010104204,-1.0,0.032893395393905844,0.034075958784672185,0.019024145999232717
2024-05-26,2024,14,Shenzhen Xinpengcheng,Shanghai Shenhua,2,0.12312870832848734,0.32702908894527066,0.549842202726242,0.8902369028030352,5.35,4.12,1.52,6.17,4.17,1.53,draw,0.3473598464545151,-1.0,0.004020067335042121,0.00520263072580846,0.01953503660534493
2024-05-26,2024,14,Shanghai Port,Cangzhou,0,0.907108810680003,0.0704763635531356,0.022414825766861372,0.8902369028030352,1.07,11.16,15.45,1.02,27.65,47.39,home,-0.02939357257239672,0.07000000000000006,0.08654004471485466,0.08303265740266333,0.07630891245396883
2024-05-26,2024,14,Qingdao Hainiu,Tianjin Jinmen Tiger,0,0.27692814782760217,0.361261456140846,0.36181039603155185,0.8902369028030352,2.76,3.24,2.47,2.85,3.48,2.43,draw,0.17048711789634097,-1.0,-0.013153953282672881,-0.011971389891906542,0.02175176219885512
2024-05-26,2024,14,Changchun Yatai,Henan Songshan Longmen,1,0.40681500343342153,0.296503421259941,0.2966815753066375,0.8902369028030352,2.39,3.35,2.78,2.78,3.6,2.43,draw,-0.00671353877919767,2.35,-0.012461757755014291,-0.011279194364247952,0.02124643872115279
