date,Season,Round,Home,Away,res,pH,pD,pA,delta,oH,oD,oA,cH,cD,cA,pH_adj,pD_adj,pA_adj,pick,best_ev,pl,clv,clv_excess,vig_bar
2025-08-16,2025,21,Zhejiang Professional,Shanghai Shenhua,1,0.1682770422786793,0.25963104182286084,0.5720919158984599,0.8669011436687777,3.76,3.77,1.86,4.21,4.43,1.73,0.17088263582352245,0.2481672048543345,0.5809501593221431,away,0.08056729633918613,-1.0,0.052104184060633996,0.06018752354927001,0.03462883747266617
2025-08-20,2025,23,Zhejiang Professional,Tianjin Jinmen Tiger,0,0.549634241372869,0.24547202496127574,0.20489373366585537,0.8677426521165158,1.75,3.94,4.09,1.53,4.59,5.82,0.5556149724491933,0.23726178518982602,0.2071232423609808,home,-0.027673798213911693,0.75,0.0923021240295786,0.07974072198418367,0.037250609344048814
2025-08-23,2025,22,Qingdao Hainiu,Shanghai Shenhua,2,0.07233864361939334,0.22597606985814347,0.7016852865224632,0.864133650805684,7.36,5.39,1.32,7.3,5.38,1.38,0.07738787855113237,0.17194922513822913,0.7506628963106385,away,-0.009124976869957058,0.32000000000000006,-0.01034619414927318,-0.002262854660637161,0.055449754927988676
2025-08-23,2025,22,Yunnan Yukun,Chengdu Rongcheng,2,0.12326156296965071,0.24413194483245082,0.6326064921978984,0.864133650805684,4.88,4.26,1.58,6.77,4.95,1.44,0.12738290617423212,0.21885892705080898,0.6537581667749588,away,0.03293790350443504,0.5800000000000001,0.07497711121161144,0.08306045070024745,0.0428233992174391
2025-08-24,2025,22,Shandong Taishan,Qingdao West Coast,0,0.6792534783994097,0.20870874682454246,0.11203777477604783,0.8579666685934457,1.5,4.48,5.36,1.33,5.62,8.81,0.680409659830894,0.2073618619238229,0.11222847824528308,home,0.020614489746340947,0.5,0.1013378314817085,0.08877642943631356,0.04734590572084894
2025-08-24,2025,22,Changchun Yatai,Shenzhen Xinpengcheng,0,0.47370590697937565,0.31046462573732553,0.21582946728329877,0.8579666685934457,2.42,3.33,2.83,2.94,3.64,2.36,0.49362147163510406,0.28147514908902593,0.22490337927586992,home,0.19456396135695186,1.42,-0.059821245037518456,-0.07238264708291339,0.025904030385761823
2025-08-24,2025,22,Henan Songshan Longmen,Dalian Yingbo,0,0.4095094141438539,0.3764675117413143,0.2140230741148319,0.8579666685934457,1.81,3.75,4.01,1.55,4.39,5.78,0.4928540835237942,0.24956417988453772,0.2575817365916682,away,0.0329027637325896,-1.0,-0.0679750750418113,-0.059891735553175285,0.01599359736483379
2025-08-24,2025,22,Meizhou Hakka,Zhejiang Professional,1,0.26207815778241034,0.27443136513810384,0.46349047707948576,0.8579666685934457,3.28,3.62,2.06,3.27,4.08,2.04,0.26765048052418294,0.2590042778944786,0.47334524158133845,away,-0.02490880234244275,-1.0,0.01569889281823922,0.023782232306875237,0.030293453408731782
2025-08-24,2025,22,Shanghai Port,Tianjin Jinmen Tiger,1,0.7992958878605294,0.13518549824755383,0.06551861389191689,0.8579666685934457,1.46,4.84,5.47,1.25,6.15,11.04,0.7464976936510431,0.19231158223245376,0.061190724116503226,home,0.089886632730523,-1.0,0.12207721535825788,0.10951581331286295,0.04740543972255055
2025-08-25,2025,22,Beijing Guoan,Wuhan Three Towns,0,0.6397081273996167,0.2425154357014796,0.11777643689890371,0.8667398913380469,1.29,5.64,7.85,1.28,6.14,9.45,0.7058565950163818,0.16418839712627745,0.12995500785734074,away,0.020146811680124666,-1.0,-0.01717751422504954,-0.00909417473641352,0.009423877733477094
