fixture_id,season,round,match_date,home_team,away_team,home_goals,away_goals,result,status
CSL-2026-7-2026-04-21-wuhan-three-towns-zhejiang-professional,2026,7,2026-04-21,Wuhan Three Towns,Zhejiang Professional,2,0,H,finished
CSL-2026-7-2026-04-22-liaoning-tieren-dalian-yingbo,2026,7,2026-04-22,Liaoning Tieren,Dalian Yingbo,0,1,A,finished
CSL-2026-7-2026-04-22-qingdao-west-coast-henan-songshan-longmen,2026,7,2026-04-22,Qingdao West Coast,Henan Songshan Longmen,0,0,D,finished
CSL-2026-7-2026-04-22-shanghai-shenhua-qingdao-hainiu,2026,7,2026-04-22,Shanghai Shenhua,Qingdao Hainiu,2,0,H,finished
CSL-2026-8-2026-04-25-beijing-guoan-tianjin-jinmen-tiger,2026,8,2026-04-25,Beijing Guoan,Tianjin Jinmen Tiger,2,4,A,finished
CSL-2026-8-2026-04-25-chengdu-rongcheng-zhejiang-professional,2026,8,2026-04-25,Chengdu Rongcheng,Zhejiang Professional,4,0,H,finished
CSL-2026-8-2026-04-25-shanghai-port-wuhan-three-towns,2026,8,2026-04-25,Shanghai Port,Wuhan Three Towns,4,0,H,finished
CSL-2026-8-2026-04-26-chongqing-tonglianglong-qingdao-west-coast,2026,8,2026-04-26,Chongqing Tonglianglong,Qingdao West Coast,1,1,D,finished
CSL-2026-8-2026-04-26-dalian-yingbo-yunnan-yukun,2026,8,2026-04-26,Dalian Yingbo,Yunnan Yukun,1,3,A,finished
CSL-2026-8-2026-04-26-henan-songshan-longmen-shanghai-shenhua,2026,8,2026-04-26,Henan Songshan Longmen,Shanghai Shenhua,0,3,A,finished
CSL-2026-8-2026-04-26-qingdao-hainiu-shandong-taishan,2026,8,2026-04-26,Qingdao Hainiu,Shandong Taishan,4,1,H,finished
CSL-2026-8-2026-04-26-shenzhen-xinpengcheng-liaoning-tieren,2026,8,2026-04-26,Shenzhen Xinpengcheng,Liaoning Tieren,1,0,H,finished
CSL-2026-9-2026-05-01-dalian-yingbo-chongqing-tonglianglong,2026,9,2026-05-01,Dalian Yingbo,Chongqing Tonglianglong,1,0,H,finished
CSL-2026-9-2026-05-01-henan-songshan-longmen-liaoning-tieren,2026,9,2026-05-01,Henan Songshan Longmen,Liaoning Tieren,4,0,H,finished
CSL-2026-9-2026-05-01-shandong-taishan-qingdao-west-coast,2026,9,2026-05-01,Shandong Taishan,Qingdao West Coast,1,1,D,finished
CSL-2026-9-2026-05-01-shanghai-shenhua-chengdu-rongcheng,2026,9,2026-05-01,Shanghai Shenhua,Chengdu Rongcheng,2,3,A,finished
CSL-2026-9-2026-05-01-tianjin-jinmen-tiger-wuhan-three-towns,2026,9,2026-05-01,Tianjin Jinmen Tiger,Wuhan Three Towns,2,2,D,finished
CSL-2026-9-2026-05-02-qingdao-hainiu-shanghai-port,2026,9,2026-05-02,Qingdao Hainiu,Shanghai Port,3,1,H,finished
CSL-2026-9-2026-05-02-yunnan-yukun-beijing-guoan,2026,9,2026-05-02,Yunnan Yukun,Beijing Guoan,3,3,D,finished
CSL-2026-9-2026-05-02-zhejiang-professional-shenzhen-xinpengcheng,2026,9,2026-05-02,Zhejiang Professional,Shenzhen Xinpengcheng,2,1,H,finished
CSL-2026-10-2026-05-05-chongqing-tonglianglong-henan-songshan-longmen,2026,10,2026-05-05,Chongqing Tonglianglong,Henan Songshan Longmen,1,1,D,finished
CSL-2026-10-2026-05-05-liaoning-tieren-chengdu-rongcheng,2026,10,2026-05-05,Liaoning Tieren,Chengdu Rongcheng,0,1,A,finished
CSL-2026-10-2026-05-05-qingdao-west-coast-tianjin-jinmen-tiger,2026,10,2026-05-05,Qingdao West Coast,Tianjin Jinmen Tiger,1,1,D,finished
CSL-2026-10-2026-05-05-shandong-taishan-shanghai-shenhua,2026,10,2026-05-05,Shandong Taishan,Shanghai Shenhua,4,1,H,finished
CSL-2026-10-2026-05-06-beijing-guoan-dalian-yingbo,2026,10,2026-05-06,Beijing Guoan,Dalian Yingbo,3,0,H,finished
CSL-2026-10-2026-05-06-shanghai-port-shenzhen-xinpengcheng,2026,10,2026-05-06,Shanghai Port,Shenzhen Xinpengcheng,1,1,D,finished
CSL-2026-10-2026-05-06-wuhan-three-towns-qingdao-hainiu,2026,10,2026-05-06,Wuhan Three Towns,Qingdao Hainiu,1,3,A,finished
CSL-2026-10-2026-05-06-yunnan-yukun-zhejiang-professional,2026,10,2026-05-06,Yunnan Yukun,Zhejiang Professional,1,2,A,finished
CSL-2026-11-2026-05-09-chengdu-rongcheng-henan-songshan-longmen,2026,11,2026-05-09,Chengdu Rongcheng,Henan Songshan Longmen,3,0,H,finished
CSL-2026-11-2026-05-09-shanghai-shenhua-chongqing-tonglianglong,2026,11,2026-05-09,Shanghai Shenhua,Chongqing Tonglianglong,2,2,D,finished
CSL-2026-11-2026-05-10-beijing-guoan-shanghai-port,2026,11,2026-05-10,Beijing Guoan,Shanghai Port,2,2,D,finished
CSL-2026-11-2026-05-10-liaoning-tieren-yunnan-yukun,2026,11,2026-05-10,Liaoning Tieren,Yunnan Yukun,1,2,A,finished
CSL-2026-11-2026-05-10-qingdao-hainiu-dalian-yingbo,2026,11,2026-05-10,Qingdao Hainiu,Dalian Yingbo,3,1,H,finished
CSL-2026-11-2026-05-10-qingdao-west-coast-wuhan-three-towns,2026,11,2026-05-10,Qingdao West Coast,Wuhan Three Towns,1,1,D,finished
CSL-2026-11-2026-05-10-shenzhen-xinpengcheng-shandong-taishan,2026,11,2026-05-10,Shenzhen Xinpengcheng,Shandong Taishan,1,2,A,finished
CSL-2026-11-2026-05-10-zhejiang-professional-tianjin-jinmen-tiger,2026,11,2026-05-10,Zhejiang Professional,Tianjin Jinmen Tiger,1,1,D,finished
CSL-2026-12-2026-05-15-beijing-guoan-qingdao-hainiu,2026,12,2026-05-15,Beijing Guoan,Qingdao Hainiu,4,2,H,finished
CSL-2026-12-2026-05-15-dalian-yingbo-qingdao-west-coast,2026,12,2026-05-15,Dalian Yingbo,Qingdao West Coast,2,3,A,finished
CSL-2026-12-2026-05-15-henan-songshan-longmen-shenzhen-xinpengcheng,2026,12,2026-05-15,Henan Songshan Longmen,Shenzhen Xinpengcheng,1,0,H,finished
CSL-2026-12-2026-05-15-shanghai-port-zhejiang-professional,2026,12,2026-05-15,Shanghai Port,Zhejiang Professional,2,2,D,finished
CSL-2026-12-2026-05-15-tianjin-jinmen-tiger-chengdu-rongcheng,2026,12,2026-05-15,Tianjin Jinmen Tiger,Chengdu Rongcheng,1,2,A,finished
CSL-2026-12-2026-05-16-shandong-taishan-chongqing-tonglianglong,2026,12,2026-05-16,Shandong Taishan,Chongqing Tonglianglong,3,1,H,finished
CSL-2026-12-2026-05-16-wuhan-three-towns-liaoning-tieren,2026,12,2026-05-16,Wuhan Three Towns,Liaoning Tieren,2,2,D,finished
CSL-2026-12-2026-05-16-yunnan-yukun-shanghai-shenhua,2026,12,2026-05-16,Yunnan Yukun,Shanghai Shenhua,1,0,H,finished
CSL-2026-13-2026-05-19-chengdu-rongcheng-shanghai-port,2026,13,2026-05-19,Chengdu Rongcheng,Shanghai Port,0,1,A,finished
CSL-2026-13-2026-05-19-qingdao-west-coast-beijing-guoan,2026,13,2026-05-19,Qingdao West Coast,Beijing Guoan,1,1,D,finished
CSL-2026-13-2026-05-19-shenzhen-xinpengcheng-dalian-yingbo,2026,13,2026-05-19,Shenzhen Xinpengcheng,Dalian Yingbo,1,1,D,finished
CSL-2026-13-2026-05-19-tianjin-jinmen-tiger-henan-songshan-longmen,2026,13,2026-05-19,Tianjin Jinmen Tiger,Henan Songshan Longmen,1,2,A,finished
CSL-2026-13-2026-05-20-chongqing-tonglianglong-yunnan-yukun,2026,13,2026-05-20,Chongqing Tonglianglong,Yunnan Yukun,0,0,D,finished
CSL-2026-13-2026-05-20-liaoning-tieren-qingdao-hainiu,2026,13,2026-05-20,Liaoning Tieren,Qingdao Hainiu,2,1,H,finished
CSL-2026-13-2026-05-20-shanghai-shenhua-wuhan-three-towns,2026,13,2026-05-20,Shanghai Shenhua,Wuhan Three Towns,2,2,D,finished
CSL-2026-13-2026-05-20-zhejiang-professional-shandong-taishan,2026,13,2026-05-20,Zhejiang Professional,Shandong Taishan,4,1,H,finished
CSL-2026-14-2026-05-23-beijing-guoan-henan-songshan-longmen,2026,14,2026-05-23,Beijing Guoan,Henan Songshan Longmen,1,2,A,finished
CSL-2026-14-2026-05-23-dalian-yingbo-chengdu-rongcheng,2026,14,2026-05-23,Dalian Yingbo,Chengdu Rongcheng,2,0,H,finished
CSL-2026-14-2026-05-23-shanghai-port-tianjin-jinmen-tiger,2026,14,2026-05-23,Shanghai Port,Tianjin Jinmen Tiger,1,1,D,finished
CSL-2026-14-2026-05-24-qingdao-hainiu-chongqing-tonglianglong,2026,14,2026-05-24,Qingdao Hainiu,Chongqing Tonglianglong,0,1,A,finished
CSL-2026-14-2026-05-24-shandong-taishan-wuhan-three-towns,2026,14,2026-05-24,Shandong Taishan,Wuhan Three Towns,3,3,D,finished
CSL-2026-14-2026-05-24-shanghai-shenhua-shenzhen-xinpengcheng,2026,14,2026-05-24,Shanghai Shenhua,Shenzhen Xinpengcheng,1,2,A,finished
CSL-2026-14-2026-05-24-yunnan-yukun-qingdao-west-coast,2026,14,2026-05-24,Yunnan Yukun,Qingdao West Coast,2,3,A,finished
CSL-2026-14-2026-05-24-zhejiang-professional-liaoning-tieren,2026,14,2026-05-24,Zhejiang Professional,Liaoning Tieren,0,5,A,finished
CSL-2026-15-2026-05-29-liaoning-tieren-shanghai-port,2026,15,2026-05-29,Liaoning Tieren,Shanghai Port,3,2,H,disputed
CSL-2026-15-2026-05-30-chengdu-rongcheng-shandong-taishan,2026,15,2026-05-30,Chengdu Rongcheng,Shandong Taishan,1,0,H,finished
CSL-2026-15-2026-05-30-chongqing-tonglianglong-beijing-guoan,2026,15,2026-05-30,Chongqing Tonglianglong,Beijing Guoan,2,3,A,finished
CSL-2026-15-2026-05-30-henan-songshan-longmen-zhejiang-professional,2026,15,2026-05-30,Henan Songshan Longmen,Zhejiang Professional,0,2,A,finished
CSL-2026-15-2026-05-30-qingdao-west-coast-shanghai-shenhua,2026,15,2026-05-30,Qingdao West Coast,Shanghai Shenhua,2,2,D,disputed
CSL-2026-15-2026-05-30-shenzhen-xinpengcheng-qingdao-hainiu,2026,15,2026-05-30,Shenzhen Xinpengcheng,Qingdao Hainiu,3,2,H,finished
CSL-2026-15-2026-05-31-tianjin-jinmen-tiger-dalian-yingbo,2026,15,2026-05-31,Tianjin Jinmen Tiger,Dalian Yingbo,1,0,H,finished
CSL-2026-15-2026-05-31-wuhan-three-towns-yunnan-yukun,2026,15,2026-05-31,Wuhan Three Towns,Yunnan Yukun,1,1,D,finished
CSL-2026-16-2026-06-26-qingdao-hainiu-yunnan-yukun,2026,16,2026-06-26,Qingdao Hainiu,Yunnan Yukun,4,2,H,finished
CSL-2026-16-2026-06-27-beijing-guoan-wuhan-three-towns,2026,16,2026-06-27,Beijing Guoan,Wuhan Three Towns,1,0,H,finished
CSL-2026-16-2026-06-27-chongqing-tonglianglong-tianjin-jinmen-tiger,2026,16,2026-06-27,Chongqing Tonglianglong,Tianjin Jinmen Tiger,1,0,H,finished
CSL-2026-16-2026-06-27-henan-songshan-longmen-shanghai-port,2026,16,2026-06-27,Henan Songshan Longmen,Shanghai Port,1,2,A,finished
CSL-2026-16-2026-06-27-liaoning-tieren-shandong-taishan,2026,16,2026-06-27,Liaoning Tieren,Shandong Taishan,1,5,A,finished
CSL-2026-16-2026-06-27-shenzhen-xinpengcheng-chengdu-rongcheng,2026,16,2026-06-27,Shenzhen Xinpengcheng,Chengdu Rongcheng,2,3,A,finished
CSL-2026-16-2026-06-28-dalian-yingbo-shanghai-shenhua,2026,16,2026-06-28,Dalian Yingbo,Shanghai Shenhua,1,2,A,finished
CSL-2026-16-2026-06-28-qingdao-west-coast-zhejiang-professional,2026,16,2026-06-28,Qingdao West Coast,Zhejiang Professional,1,1,D,finished
